site,wafer,time_dep,geh4,b2h6,th_sigeb.xrr,th_sigeb.xrd,xge.xrd,xge.sims,b_conc.sims,th_sigeb.ell, N_1(240.0nm), N_1(245.0nm), N_1(250.0nm), N_1(255.0nm), N_1(260.0nm), N_1(265.0nm), N_1(270.0nm), N_1(275.0nm), N_1(280.0nm), N_1(285.0nm), N_1(290.0nm), N_1(295.0nm), N_1(300.0nm), N_1(305.0nm), N_1(310.0nm), N_1(315.0nm), N_1(320.0nm), N_1(325.0nm), N_1(330.0nm), N_1(335.0nm), N_1(340.0nm), N_1(345.0nm), N_1(350.0nm), N_1(355.0nm), N_1(360.0nm), N_1(365.0nm), N_1(370.0nm), N_1(375.0nm), N_1(380.0nm), N_1(385.0nm), N_1(390.0nm), N_1(395.0nm), N_1(400.0nm), N_1(405.0nm), N_1(410.0nm), N_1(415.0nm), N_1(420.0nm), N_1(425.0nm), N_1(430.0nm), N_1(435.0nm), N_1(440.0nm), N_1(445.0nm), N_1(450.0nm), N_1(455.0nm), N_1(460.0nm), N_1(465.0nm), N_1(470.0nm), N_1(475.0nm), N_1(480.0nm), N_1(485.0nm), N_1(490.0nm), N_1(495.0nm), N_1(500.0nm), N_1(505.0nm), N_1(510.0nm), N_1(515.0nm), N_1(520.0nm), N_1(525.0nm), N_1(530.0nm), N_1(535.0nm), N_1(540.0nm), N_1(545.0nm), N_1(550.0nm), N_1(555.0nm), N_1(560.0nm), N_1(565.0nm), N_1(570.0nm), N_1(575.0nm), N_1(580.0nm), N_1(585.0nm), N_1(590.0nm), N_1(595.0nm), N_1(600.0nm), N_1(605.0nm), N_1(610.0nm), N_1(615.0nm), N_1(620.0nm), N_1(625.0nm), N_1(630.0nm), N_1(635.0nm), N_1(640.0nm), N_1(645.0nm), N_1(650.0nm), N_1(655.0nm), N_1(660.0nm), N_1(665.0nm), N_1(670.0nm), N_1(675.0nm), N_1(680.0nm), N_1(685.0nm), N_1(690.0nm), N_1(695.0nm), N_1(700.0nm), N_1(705.0nm), N_1(710.0nm), N_1(715.0nm), N_1(720.0nm), N_1(725.0nm), N_1(730.0nm), N_1(735.0nm), N_1(740.0nm), N_1(745.0nm), N_1(750.0nm), N_1(755.0nm), N_1(760.0nm), N_1(765.0nm), N_1(770.0nm), N_1(775.0nm), N_1(780.0nm), K_1(250.0nm), K_1(255.0nm), K_1(260.0nm), K_1(265.0nm), K_1(270.0nm), K_1(275.0nm), K_1(280.0nm), K_1(285.0nm), K_1(290.0nm), K_1(295.0nm), K_1(300.0nm), K_1(305.0nm), K_1(310.0nm), K_1(315.0nm), K_1(320.0nm), K_1(325.0nm), K_1(330.0nm), K_1(335.0nm), K_1(340.0nm), K_1(345.0nm), K_1(350.0nm), K_1(355.0nm), K_1(360.0nm), K_1(365.0nm), K_1(370.0nm), K_1(375.0nm), K_1(380.0nm), K_1(385.0nm), K_1(390.0nm), K_1(395.0nm), K_1(400.0nm), K_1(405.0nm), K_1(410.0nm), K_1(415.0nm), K_1(420.0nm), K_1(425.0nm), K_1(430.0nm), K_1(435.0nm), K_1(440.0nm), K_1(445.0nm), K_1(450.0nm), K_1(455.0nm), K_1(460.0nm), K_1(465.0nm), K_1(470.0nm), K_1(475.0nm), K_1(480.0nm), K_1(485.0nm), K_1(490.0nm), K_1(495.0nm), K_1(500.0nm), K_1(505.0nm), K_1(510.0nm), K_1(515.0nm), K_1(520.0nm), K_1(525.0nm), K_1(530.0nm), K_1(535.0nm), K_1(540.0nm), K_1(545.0nm), K_1(550.0nm), K_1(555.0nm), K_1(560.0nm), K_1(565.0nm), K_1(570.0nm), K_1(575.0nm), K_1(580.0nm), K_1(585.0nm), K_1(590.0nm), K_1(595.0nm), K_1(600.0nm), K_1(605.0nm), K_1(610.0nm), K_1(615.0nm), K_1(620.0nm), K_1(625.0nm), K_1(630.0nm), K_1(635.0nm), K_1(640.0nm), K_1(645.0nm), K_1(650.0nm), K_1(655.0nm), K_1(660.0nm), K_1(665.0nm), K_1(670.0nm), K_1(675.0nm), K_1(680.0nm), K_1(685.0nm), K_1(690.0nm), K_1(695.0nm), K_1(700.0nm), K_1(705.0nm), K_1(710.0nm), K_1(715.0nm), K_1(720.0nm), K_1(725.0nm), K_1(730.0nm), K_1(735.0nm), K_1(740.0nm), K_1(745.0nm), K_1(750.0nm), K_1(755.0nm), K_1(760.0nm), K_1(765.0nm), K_1(770.0nm), K_1(775.0nm), K_1(780.0nm)
5,4,425,820,125,265.126,258.07,35.504,38.9,2.24E+20,256.003,1.72769,1.74571,1.81459,1.92612,2.04373,2.17498,2.37627,2.68493,3.10754,3.59419,4.037,4.35003,4.52787,4.61226,4.64586,4.65714,4.66223,4.66957,4.68323,4.70488,4.73481,4.77246,4.81671,4.86601,4.9185,4.97217,5.02494,5.07487,5.12034,5.16025,5.19415,5.22237,5.24605,5.26699,5.28742,5.30947,5.33424,5.36066,5.38447,5.39846,5.39475,5.36832,5.31969,5.25459,5.1808,5.10495,5.03127,4.96182,4.89726,4.83752,4.78224,4.73096,4.68324,4.63869,4.59698,4.55781,4.52094,4.48616,4.45329,4.42218,4.39268,4.36466,4.33803,4.31268,4.28852,4.26547,4.24346,4.22241,4.20228,4.183,4.16452,4.14679,4.12978,4.11343,4.09771,4.0826,4.06804,4.05402,4.04051,4.02747,4.01489,4.00275,3.99101,3.97967,3.9687,3.95809,3.94781,3.93786,3.92822,3.91888,3.90981,3.90102,3.89249,3.8842,3.87615,3.86833,3.86073,3.85333,3.84614,3.83915,3.83234,3.82571,3.81925,3.81296,3.80682,3.80085,3.79502,3.78933,3.78379,3.5734,3.73439,3.88568,4.07224,4.29534,4.50949,4.6458,4.6277,4.43509,4.1374,3.82694,3.55598,3.33747,3.1662,3.03209,2.92542,2.83808,2.76361,2.69691,2.6339,2.57137,2.50685,2.43854,2.36534,2.28684,2.20329,2.11557,2.02503,1.93331,1.84209,1.75273,1.66592,1.58127,1.49698,1.40964,1.31474,1.20817,1.08859,0.95943,0.8288,0.70653,0.6001,0.51229,0.44194,0.38599,0.34111,0.3045,0.27407,0.24831,0.22618,0.20693,0.19001,0.17504,0.1617,0.14976,0.13903,0.12934,0.12057,0.1126,0.10535,0.09873,0.09267,0.08712,0.08201,0.07731,0.07297,0.06896,0.06524,0.06179,0.05858,0.05559,0.0528,0.05019,0.04775,0.04546,0.04331,0.04129,0.03939,0.0376,0.0359,0.0343,0.03278,0.03134,0.02998,0.02868,0.02744,0.02627,0.02514,0.02407,0.02305,0.02207,0.02113,0.02022,0.01936,0.01853,0.01773,0.01696,0.01622,0.0155,0.01481,0.01414,0.0135,0.01287,0.01223,0.01146,0.0107,0.00997
13,4,425,820,125,262.892,253.62,35.685,39.15,2.19E+20,253.459,1.73114,1.74712,1.81476,1.92668,2.04553,2.17726,2.37808,2.68638,3.10966,3.59766,4.04113,4.35356,4.5302,4.61347,4.64626,4.65704,4.66186,4.66905,4.68262,4.7042,4.73404,4.77156,4.81561,4.86465,4.91685,4.9702,5.02268,5.07238,5.11773,5.15765,5.19173,5.22027,5.24436,5.26572,5.28648,5.30869,5.33348,5.36,5.38434,5.39957,5.39761,5.37286,5.32534,5.26064,5.18668,5.11039,5.03617,4.96621,4.90121,4.84112,4.78556,4.73407,4.6862,4.64153,4.59972,4.56048,4.52356,4.48874,4.45584,4.42469,4.39516,4.36712,4.34046,4.31508,4.2909,4.26782,4.24578,4.22472,4.20456,4.18525,4.16674,4.14899,4.13195,4.11557,4.09983,4.08468,4.0701,4.05605,4.0425,4.02944,4.01683,4.00466,3.9929,3.98153,3.97053,3.95989,3.94959,3.93961,3.92995,3.92058,3.91149,3.90267,3.89411,3.8858,3.87772,3.86988,3.86225,3.85484,3.84763,3.84061,3.83378,3.82712,3.82064,3.81433,3.80818,3.80218,3.79633,3.79063,3.78506,3.57272,3.7354,3.88704,4.0729,4.29563,4.51032,4.64736,4.62894,4.43483,4.13564,3.82446,3.55347,3.3353,3.16446,3.03076,2.92442,2.83732,2.76301,2.69641,2.63348,2.57102,2.50661,2.43848,2.36555,2.28742,2.20436,2.11721,2.02729,1.93618,1.84549,1.75653,1.66997,1.58545,1.50128,1.41425,1.32002,1.21441,1.09566,0.96666,0.8353,0.71169,0.60378,0.51471,0.44344,0.3869,0.34167,0.30488,0.27436,0.24857,0.22644,0.20719,0.19029,0.17532,0.16199,0.15004,0.1393,0.12959,0.1208,0.11281,0.10553,0.09888,0.09279,0.08721,0.08207,0.07733,0.07296,0.06891,0.06516,0.06168,0.05844,0.05542,0.0526,0.04996,0.0475,0.04518,0.04301,0.04097,0.03904,0.03723,0.03551,0.03389,0.03235,0.0309,0.02951,0.0282,0.02695,0.02576,0.02462,0.02354,0.0225,0.02151,0.02056,0.01965,0.01877,0.01793,0.01712,0.01634,0.01559,0.01487,0.01417,0.0135,0.01285,0.01222,0.01157,0.01079,0.01003,0.0093
1,5,350,560,150,119.846,113,25.533,31,1.11E+21,108.862,1.83893,1.84457,1.88126,1.96719,2.11256,2.28223,2.46457,2.7239,3.10574,3.57046,4.00658,4.32389,4.51506,4.62014,4.67886,4.71642,4.74635,4.77529,4.80624,4.84029,4.87757,4.91769,4.96001,5.00377,5.04818,5.09252,5.1361,5.17834,5.21874,5.25686,5.29224,5.32436,5.35251,5.37561,5.39203,5.39938,5.39459,5.37452,5.33724,5.28364,5.21773,5.14525,5.07128,4.99906,4.93012,4.86508,4.80416,4.74736,4.69453,4.64543,4.59977,4.5572,4.51741,4.48009,4.44499,4.41186,4.38051,4.35076,4.32246,4.29548,4.26973,4.2451,4.22151,4.19889,4.17718,4.15633,4.13627,4.11698,4.09839,4.08049,4.06322,4.04657,4.03049,4.01497,3.99997,3.98547,3.97145,3.95788,3.94476,3.93204,3.91973,3.9078,3.89624,3.88502,3.87414,3.86358,3.85334,3.84338,3.83372,3.82432,3.81519,3.80631,3.79768,3.78928,3.7811,3.77314,3.76539,3.75784,3.75048,3.74331,3.73633,3.72951,3.72286,3.71638,3.71005,3.70387,3.69784,3.69195,3.6862,3.55198,3.73791,3.91739,4.06976,4.23928,4.43661,4.58871,4.59918,4.43657,4.16662,3.8799,3.62629,3.41691,3.24627,3.10522,2.98548,2.88054,2.78549,2.69671,2.6115,2.52788,2.44442,2.36012,2.27426,2.18636,2.09609,2.00318,1.90736,1.80831,1.70561,1.59872,1.48705,1.37008,1.24773,1.12103,0.99279,0.86788,0.75226,0.65084,0.56556,0.49545,0.438,0.39068,0.35143,0.31867,0.29109,0.26763,0.24743,0.22979,0.21419,0.20023,0.18759,0.17607,0.16548,0.15571,0.14666,0.13825,0.13043,0.12313,0.11632,0.10996,0.10402,0.09847,0.09328,0.08842,0.08387,0.07962,0.07564,0.0719,0.06841,0.06514,0.06206,0.05919,0.05648,0.05395,0.05157,0.04933,0.04723,0.04525,0.04339,0.04165,0.04,0.03845,0.03699,0.03561,0.03431,0.03308,0.03192,0.03083,0.0298,0.02882,0.02789,0.02702,0.02619,0.02541,0.02466,0.02396,0.02329,0.02265,0.02205,0.02148,0.02093,0.02042,0.01997,0.01979,0.01962,0.01945
5,5,350,560,150,119.266,113.84,25.81,31.24,1.07E+21,108.565,1.83664,1.84231,1.87736,1.96164,2.10662,2.27581,2.45714,2.71713,3.10141,3.56793,4.00423,4.32139,4.5128,4.61823,4.67704,4.71441,4.74392,4.77232,4.80271,4.83629,4.87325,4.91324,4.95565,4.99974,5.04472,5.08983,5.13435,5.17764,5.21911,5.25823,5.29447,5.32723,5.35575,5.37896,5.39526,5.40236,5.39734,5.37718,5.34002,5.28666,5.22105,5.14883,5.07506,5.00293,4.934,4.86889,4.80784,4.75088,4.69789,4.64864,4.60282,4.56012,4.52021,4.4828,4.44761,4.41441,4.383,4.35319,4.32485,4.29784,4.27206,4.2474,4.22379,4.20116,4.17944,4.15858,4.13852,4.11922,4.10063,4.08273,4.06546,4.04881,4.03274,4.01722,4.00223,3.98774,3.97373,3.96017,3.94706,3.93436,3.92206,3.91014,3.89859,3.88738,3.87652,3.86597,3.85574,3.8458,3.83615,3.82677,3.81765,3.80879,3.80017,3.79178,3.78362,3.77568,3.76794,3.76041,3.75307,3.74591,3.73894,3.73214,3.72551,3.71904,3.71272,3.70656,3.70054,3.69467,3.68893,3.55071,3.73688,3.91712,4.06965,4.24045,4.44014,4.59318,4.60255,4.43877,4.16855,3.88177,3.62782,3.41792,3.2468,3.10545,2.98566,2.88092,2.78632,2.69817,2.61373,2.53096,2.44836,2.36484,2.27963,2.19219,2.10214,2.00919,1.91306,1.81347,1.71006,1.60239,1.48997,1.37239,1.24967,1.12284,0.99464,0.8698,0.75416,0.65259,0.56705,0.49658,0.43875,0.39106,0.35147,0.31842,0.29062,0.26698,0.24665,0.22893,0.21327,0.19926,0.1866,0.17506,0.16446,0.15469,0.14564,0.13723,0.1294,0.12211,0.1153,0.10895,0.10301,0.09746,0.09227,0.08742,0.08287,0.07862,0.07464,0.07091,0.06742,0.06414,0.06107,0.05819,0.05549,0.05295,0.05057,0.04833,0.04623,0.04425,0.04239,0.04064,0.03899,0.03744,0.03597,0.03459,0.03328,0.03205,0.03089,0.02979,0.02875,0.02777,0.02684,0.02596,0.02513,0.02434,0.02359,0.02287,0.0222,0.02156,0.02095,0.02037,0.01982,0.01929,0.01884,0.01866,0.01849,0.01832
13,5,350,560,150,118.24,112.99,26.411,31.66,1.02E+21,107.981,1.83259,1.83848,1.87087,1.95246,2.09665,2.26512,2.44495,2.7056,3.09301,3.56171,3.99792,4.31479,4.50668,4.61269,4.67166,4.70863,4.73735,4.76478,4.79421,4.82696,4.86335,4.90311,4.94568,4.99033,5.03627,5.08269,5.12877,5.17378,5.21699,5.25774,5.29536,5.32917,5.35833,5.38179,5.39805,5.40503,5.40005,5.38031,5.34399,5.29174,5.22724,5.15594,5.08279,5.01098,4.94212,4.8769,4.81565,4.75843,4.70516,4.65562,4.60954,4.56659,4.52646,4.48884,4.45347,4.42011,4.38855,4.35862,4.33016,4.30305,4.27718,4.25244,4.22876,4.20607,4.1843,4.16339,4.14329,4.12395,4.10534,4.08741,4.07013,4.05346,4.03738,4.02186,4.00686,3.99237,3.97836,3.96481,3.95169,3.939,3.92671,3.9148,3.90326,3.89207,3.88122,3.87069,3.86048,3.85056,3.84092,3.83156,3.82247,3.81362,3.80502,3.79666,3.78852,3.78059,3.77288,3.76537,3.75805,3.75092,3.74397,3.73719,3.73058,3.72413,3.71784,3.7117,3.70571,3.69986,3.69414,3.54764,3.73389,3.91518,4.06791,4.2403,4.44314,4.59748,4.60537,4.44022,4.17003,3.8834,3.62905,3.41839,3.24657,3.10485,2.98512,2.8809,2.7872,2.70028,2.6173,2.5361,2.45507,2.373,2.28901,2.20246,2.11291,2.02004,1.92359,1.82333,1.71903,1.61039,1.49712,1.37896,1.25605,1.12941,1.00158,0.87701,0.7613,0.65923,0.57286,0.50138,0.4425,0.39383,0.3534,0.31964,0.29125,0.26715,0.24645,0.22843,0.21253,0.19833,0.18551,0.17384,0.16314,0.15328,0.14415,0.13568,0.12781,0.12047,0.11363,0.10724,0.10127,0.0957,0.09049,0.08561,0.08105,0.07679,0.07279,0.06905,0.06554,0.06226,0.05918,0.05629,0.05358,0.05103,0.04864,0.04639,0.04428,0.04229,0.04042,0.03866,0.037,0.03543,0.03396,0.03256,0.03125,0.03001,0.02883,0.02772,0.02667,0.02567,0.02473,0.02384,0.02299,0.02219,0.02142,0.0207,0.02001,0.01935,0.01873,0.01813,0.01757,0.01703,0.01657,0.0164,0.01625,0.0161
1,6,350,820,150,232.502,224.21,34.511,38.14,3.03E+20,223.823,1.7408,1.75897,1.82834,1.93934,2.05888,2.19593,2.40022,2.70425,3.11983,3.60522,4.05128,4.36564,4.54199,4.6246,4.65763,4.66969,4.6765,4.686,4.70185,4.72543,4.75681,4.7953,4.83969,4.88843,4.93973,4.99166,5.04232,5.08998,5.13324,5.17121,5.20364,5.23098,5.25434,5.27541,5.29608,5.31793,5.34143,5.36489,5.38379,5.39136,5.38075,5.34825,5.29534,5.22798,5.15357,5.07815,5.00546,4.93722,4.87391,4.81539,4.76123,4.71098,4.6642,4.62051,4.57956,4.54108,4.50484,4.47063,4.43828,4.40763,4.37854,4.35091,4.32461,4.29957,4.27569,4.25289,4.2311,4.21026,4.19031,4.17119,4.15286,4.13527,4.11837,4.10213,4.08651,4.07147,4.05699,4.04304,4.02958,4.0166,4.00406,3.99196,3.98025,3.96894,3.95799,3.9474,3.93714,3.9272,3.91756,3.90822,3.89916,3.89037,3.88183,3.87354,3.86548,3.85765,3.85004,3.84263,3.83543,3.82842,3.82159,3.81495,3.80847,3.80216,3.79601,3.79001,3.78416,3.77846,3.77289,3.57758,3.73992,3.89424,4.08026,4.29653,4.50424,4.64148,4.62854,4.43738,4.13741,3.82534,3.55484,3.33792,3.16819,3.03495,2.92824,2.83995,2.76375,2.69468,2.62889,2.56337,2.49585,2.42476,2.34915,2.26876,2.18392,2.09549,2.00475,1.91315,1.82211,1.73269,1.64522,1.55902,1.47213,1.3813,1.28261,1.17289,1.05189,0.92375,0.79648,0.67912,0.578,0.49508,0.42883,0.37612,0.33376,0.29911,0.2702,0.24564,0.22446,0.20597,0.18968,0.17521,0.16228,0.15068,0.14023,0.13077,0.12219,0.11438,0.10726,0.10075,0.09479,0.08931,0.08426,0.07961,0.07532,0.07134,0.06765,0.06423,0.06104,0.05807,0.0553,0.05271,0.05029,0.04801,0.04588,0.04387,0.04198,0.0402,0.03852,0.03693,0.03542,0.034,0.03265,0.03136,0.03014,0.02898,0.02788,0.02682,0.02581,0.02485,0.02393,0.02305,0.0222,0.02139,0.02061,0.01986,0.01914,0.01844,0.01777,0.01713,0.01651,0.0159,0.01529,0.01453,0.0138,0.0131
5,6,350,820,150,234.502,224.85,34.642,38.56,2.98E+20,225.309,1.74155,1.75886,1.8277,1.93891,2.05887,2.1958,2.39974,2.70385,3.12006,3.60604,4.05218,4.36621,4.54216,4.62442,4.65716,4.66899,4.6756,4.68493,4.70064,4.72409,4.75536,4.79374,4.83805,4.88671,4.93794,4.98983,5.04047,5.08814,5.13146,5.16954,5.20211,5.22962,5.25317,5.2744,5.29519,5.31712,5.34069,5.36434,5.38372,5.39213,5.3826,5.35111,5.29889,5.23182,5.15738,5.08176,5.00879,4.94028,4.87674,4.818,4.76367,4.71329,4.66639,4.6226,4.58158,4.54304,4.50674,4.47249,4.44009,4.4094,4.38028,4.35261,4.32629,4.30122,4.27731,4.25449,4.23268,4.21182,4.19185,4.17272,4.15436,4.13675,4.11984,4.10358,4.08794,4.07289,4.05839,4.04442,4.03095,4.01795,4.0054,3.99328,3.98157,3.97024,3.95928,3.94867,3.9384,3.92845,3.9188,3.90945,3.90038,3.89157,3.88302,3.87472,3.86666,3.85882,3.8512,3.84378,3.83657,3.82955,3.82272,3.81606,3.80958,3.80326,3.7971,3.7911,3.78524,3.77953,3.77395,3.57707,3.74004,3.89432,4.08006,4.29654,4.5048,4.64228,4.62893,4.43711,4.13667,3.82441,3.55389,3.33703,3.16739,3.03427,2.92769,2.83955,2.76349,2.69459,2.62896,2.56362,2.4963,2.42542,2.35005,2.26991,2.18534,2.09718,2.0067,1.91535,1.82453,1.73528,1.64795,1.56189,1.47519,1.38467,1.28645,1.1773,1.05673,0.9286,0.80087,0.6827,0.58069,0.497,0.43016,0.37704,0.3344,0.29957,0.27054,0.24591,0.22468,0.20615,0.18983,0.17533,0.16239,0.15076,0.14029,0.13081,0.12221,0.11439,0.10725,0.10072,0.09474,0.08924,0.08418,0.07951,0.0752,0.07121,0.0675,0.06406,0.06086,0.05788,0.0551,0.05249,0.05006,0.04777,0.04563,0.04361,0.04171,0.03992,0.03823,0.03663,0.03512,0.03368,0.03233,0.03103,0.02981,0.02864,0.02753,0.02647,0.02545,0.02448,0.02356,0.02267,0.02182,0.021,0.02022,0.01946,0.01874,0.01804,0.01737,0.01672,0.01609,0.01548,0.01486,0.01411,0.01337,0.01267
13,6,350,820,150,232.454,222.31,34.996,38.74,2.84E+20,223.279,1.74503,1.75941,1.82693,1.9394,2.06104,2.19762,2.40029,2.7043,3.12163,3.60843,4.0542,4.3672,4.54213,4.62365,4.65589,4.66738,4.67375,4.68288,4.69839,4.72163,4.75263,4.7907,4.83462,4.88285,4.93361,4.98503,5.03526,5.08262,5.12578,5.16387,5.19666,5.22455,5.24858,5.27028,5.29141,5.31349,5.33709,5.36102,5.38149,5.39218,5.38581,5.35741,5.30739,5.24134,5.16696,5.09084,5.01715,4.9479,4.88368,4.82438,4.76959,4.71883,4.67164,4.62761,4.58639,4.54769,4.51126,4.47688,4.44438,4.4136,4.3844,4.35665,4.33026,4.30511,4.28114,4.25825,4.23637,4.21545,4.19542,4.17622,4.15781,4.14014,4.12316,4.10685,4.09115,4.07604,4.06149,4.04747,4.03394,4.02089,4.00829,3.99612,3.98435,3.97298,3.96197,3.95131,3.94099,3.931,3.92131,3.91191,3.9028,3.89395,3.88536,3.87702,3.86891,3.86103,3.85337,3.84592,3.83867,3.83162,3.82475,3.81806,3.81154,3.80519,3.799,3.79296,3.78707,3.78133,3.77573,3.57543,3.74045,3.89423,4.07862,4.29526,4.50468,4.64252,4.62817,4.43505,4.13396,3.82168,3.55145,3.33495,3.16567,3.03284,2.92649,2.83853,2.76262,2.69385,2.62836,2.5632,2.49614,2.42562,2.35075,2.27126,2.18746,2.10019,2.01064,1.9202,1.83019,1.74161,1.6548,1.56916,1.48298,1.39334,1.29656,1.18927,1.07028,0.9426,0.81382,0.69349,0.58898,0.50305,0.43448,0.38015,0.33672,0.30137,0.27202,0.24718,0.22581,0.20718,0.19077,0.17621,0.1632,0.15151,0.14097,0.13143,0.12277,0.11488,0.10767,0.10108,0.09503,0.08947,0.08434,0.07962,0.07524,0.07119,0.06744,0.06395,0.06069,0.05766,0.05483,0.05219,0.04971,0.04738,0.0452,0.04314,0.04121,0.03939,0.03766,0.03604,0.0345,0.03304,0.03165,0.03034,0.02909,0.0279,0.02677,0.02569,0.02466,0.02367,0.02273,0.02183,0.02096,0.02013,0.01933,0.01857,0.01783,0.01712,0.01644,0.01578,0.01515,0.01453,0.01391,0.01314,0.0124,0.01169
1,7,425,690,150,204.194,198.73,30.648,35,5.21E+20,196.498,1.76004,1.78981,1.84454,1.92799,2.04561,2.20496,2.41429,2.70201,3.10658,3.60068,4.06193,4.38361,4.56072,4.64303,4.6771,4.69164,4.7018,4.71497,4.73447,4.76149,4.79607,4.83757,4.88489,4.93658,4.99095,5.04616,5.10032,5.15166,5.19866,5.24027,5.27602,5.30611,5.3314,5.35325,5.37311,5.39178,5.40828,5.41863,5.41595,5.3933,5.34815,5.28432,5.20951,5.13129,5.05477,4.98249,4.9153,4.8532,4.79579,4.74261,4.69317,4.64707,4.60393,4.56345,4.52536,4.48944,4.4555,4.42338,4.39292,4.364,4.3365,4.31032,4.28538,4.26158,4.23885,4.21712,4.19633,4.17642,4.15734,4.13904,4.12148,4.10461,4.08839,4.0728,4.05779,4.04333,4.0294,4.01596,4.003,3.99049,3.97841,3.96674,3.95545,3.94453,3.93397,3.92374,3.91383,3.90423,3.89492,3.88589,3.87713,3.86863,3.86038,3.85236,3.84457,3.837,3.82963,3.82247,3.8155,3.80872,3.80211,3.79568,3.78941,3.7833,3.77735,3.77154,3.76588,3.76035,3.75496,3.57858,3.74194,3.9202,4.10867,4.30531,4.50531,4.65633,4.6587,4.46814,4.1607,3.84319,3.57101,3.35421,3.18476,3.0512,2.94341,2.85337,2.77492,2.7033,2.63475,2.56634,2.4958,2.42148,2.3423,2.25783,2.1682,2.07408,1.97659,1.87704,1.77673,1.67662,1.5769,1.47667,1.37365,1.26447,1.14601,1.01809,0.8858,0.75852,0.64537,0.55102,0.4753,0.41521,0.36718,0.32811,0.2957,0.2683,0.24475,0.22427,0.20625,0.19028,0.17603,0.16326,0.15175,0.14134,0.13191,0.12333,0.11551,0.10836,0.10182,0.09581,0.09029,0.08521,0.08052,0.07619,0.07217,0.06845,0.06499,0.06178,0.05878,0.05599,0.05338,0.05093,0.04864,0.0465,0.04448,0.04258,0.04079,0.0391,0.03751,0.036,0.03457,0.03322,0.03193,0.03071,0.02955,0.02844,0.02739,0.02638,0.02541,0.02449,0.02361,0.02277,0.02195,0.02117,0.02042,0.0197,0.01901,0.01834,0.01769,0.01707,0.01646,0.01588,0.01532,0.01482,0.01433,0.01386
5,7,425,690,150,204.81,200.06,30.905,35.2,5.00E+20,196.809,1.75869,1.78902,1.84436,1.92787,2.0448,2.2043,2.41488,2.70318,3.10793,3.60307,4.06555,4.38736,4.56358,4.64465,4.67757,4.69118,4.70065,4.71336,4.73257,4.75946,4.79404,4.83563,4.8831,4.93498,4.98956,5.04495,5.09925,5.15066,5.19767,5.23921,5.27484,5.30481,5.33003,5.35192,5.37203,5.39122,5.40855,5.42,5.41855,5.39705,5.3527,5.28921,5.21436,5.13586,5.05899,4.98638,4.91892,4.85659,4.79902,4.74569,4.69614,4.64993,4.6067,4.56612,4.52795,4.49196,4.45795,4.42575,4.39523,4.36625,4.33871,4.31248,4.28749,4.26366,4.2409,4.21914,4.19833,4.1784,4.1593,4.14099,4.12342,4.10654,4.09031,4.07471,4.0597,4.04524,4.03131,4.01787,4.00492,3.99241,3.98033,3.96866,3.95738,3.94646,3.9359,3.92568,3.91578,3.90618,3.89688,3.88786,3.87911,3.87062,3.86237,3.85436,3.84658,3.83901,3.83166,3.8245,3.81754,3.81076,3.80417,3.79774,3.79148,3.78538,3.77943,3.77364,3.76798,3.76246,3.75708,3.57965,3.74249,3.92088,4.11054,4.3075,4.50696,4.65803,4.66051,4.46887,4.15964,3.84075,3.56794,3.35109,3.18193,3.04884,2.9416,2.85214,2.77425,2.70313,2.63503,2.56699,2.49674,2.42262,2.34357,2.25918,2.16959,2.07553,1.97814,1.87878,1.7788,1.67914,1.58001,1.48046,1.37816,1.26958,1.15144,1.02343,0.89057,0.76236,0.64815,0.55286,0.47644,0.41589,0.36757,0.32834,0.29581,0.26832,0.24472,0.22417,0.2061,0.19009,0.1758,0.16299,0.15146,0.14103,0.13159,0.123,0.11518,0.10803,0.10149,0.0955,0.08999,0.08492,0.08024,0.07591,0.07191,0.0682,0.06476,0.06156,0.05857,0.05579,0.05319,0.05076,0.04848,0.04634,0.04433,0.04244,0.04066,0.03897,0.03739,0.03588,0.03446,0.03311,0.03183,0.03061,0.02945,0.02835,0.02729,0.02629,0.02533,0.02441,0.02352,0.02268,0.02187,0.02109,0.02033,0.01961,0.01892,0.01824,0.01759,0.01697,0.01636,0.01578,0.01521,0.0147,0.0142,0.01373
